iter	MAE	RMSE
2368	0.353494632	0.5005480948
2369	0.3534700145	0.5005198427
2370	0.3534601132	0.5005128946
2371	0.3534137606	0.5004667837
2372	0.3533938287	0.5004455626
2373	0.3533410508	0.5003803141
2374	0.3532789516	0.5003128319
2375	0.353249212	0.5002791632
2376	0.3531837212	0.5002004762
2377	0.353129813	0.5001358218
2378	0.353078689	0.5000799405
2379	0.3530426048	0.5000392908
2380	0.3530256239	0.5000237674
2381	0.3529790017	0.499965099
2382	0.3529040326	0.4998835858
2383	0.3528245261	0.4997811541
2384	0.352784822	0.4997321576
2385	0.3527676582	0.4997146863
2386	0.3527199975	0.4996526836
2387	0.35267577	0.4995901577
2388	0.3525858534	0.4994896681
2389	0.3525746419	0.4994787406
2390	0.3524969118	0.4993800164
2391	0.3524750123	0.4993581967
2392	0.3524430196	0.4993185151
2393	0.352398531	0.499266852
2394	0.3523219669	0.4991640389
2395	0.352257361	0.4990870036
2396	0.3522052292	0.4990202116
2397	0.3521660334	0.4989728571
2398	0.3521042533	0.4989073004
2399	0.3520323814	0.4988359601
2400	0.3519705837	0.4987616377
2401	0.3518766977	0.4986553024
2402	0.3518365147	0.498612495
2403	0.3518047866	0.4985787888
2404	0.3517730426	0.4985404304
2405	0.3517272946	0.4984900243
2406	0.3516901704	0.4984533093
2407	0.3516254286	0.4983717166
2408	0.3515799978	0.4983152238
2409	0.3515246416	0.4982555961
2410	0.3514583174	0.4981809071
2411	0.3513772944	0.4980891303
2412	0.351317732	0.4980200138
2413	0.3512875888	0.497991598
2414	0.3512191119	0.4979133212
2415	0.3511981985	0.4978911909
2416	0.3511563547	0.4978469709
2417	0.3510840929	0.4977487014
2418	0.3510464798	0.4977041249
2419	0.3510100308	0.4976644784
2420	0.3509766289	0.4976295672
2421	0.350948685	0.4976004585
2422	0.3509029935	0.4975533019
2423	0.35089172	0.497543561
2424	0.3508256992	0.4974541909
2425	0.350796324	0.4974149771
2426	0.3507007073	0.497312685
2427	0.3506883801	0.4973018021
2428	0.3506589153	0.4972635043
2429	0.3506359	0.4972358146
2430	0.3505946402	0.4971845575
2431	0.3505459799	0.4971386029
2432	0.3505090188	0.4970942199
2433	0.3503676388	0.4968878774
2434	0.3503329421	0.4968483693
2435	0.350262719	0.4967649605
2436	0.3502263862	0.4967148
2437	0.3502036425	0.4966921368
2438	0.3501468745	0.4966256542
2439	0.350066614	0.4965500642
2440	0.3499852799	0.4964509715
2441	0.3498739399	0.496308027
2442	0.3498182717	0.4962458098
2443	0.3497837152	0.496200432
2444	0.3497349628	0.4961389274
2445	0.3497155442	0.4961105128
2446	0.3496614514	0.4960443831
2447	0.3496281739	0.4960045986
2448	0.3495918598	0.4959708368
2449	0.349571349	0.4959512761
2450	0.349498596	0.4958701047
2451	0.3494482936	0.4958174092
2452	0.3493998614	0.4957666473
2453	0.3493702831	0.4957278838
2454	0.3493558107	0.4957142026
2455	0.3493086479	0.4956587731
2456	0.3492666848	0.4956048476
2457	0.3492339966	0.4955702322
2458	0.3491246733	0.4954295557
2459	0.3490637516	0.4953674319
2460	0.3490383606	0.4953401958
2461	0.3490209404	0.4953214171
2462	0.3489359422	0.4952192349
2463	0.3488605984	0.4951274649
2464	0.3488147165	0.495081955
2465	0.3487686896	0.4950310155
2466	0.3487290358	0.4949842285
